German,English,German Sentence,Cloze Sentence,English Sentence,Image,Vocab Audio,Sentence Audio
die Zuverlässigkeit,reliability,Die Zuverlässigkeit eines Mitarbeiters ist wichtig.,Die Zuverlässigkeit eines Mitarbeiters ist wichtig.,__ eines Mitarbeiters ist wichtig.,,media/azure-acd6d7ab-8b20415b-3cb73036-05667b1d-2a5798f4.mp3,media/azure-abf22c20-6a750f04-3b3c3388-42a4f171-293a57ec.mp3
belastbar,resilient,Er ist sehr belastbar und arbeitet gut unter Druck.,Er ist sehr belastbar und arbeitet gut unter Druck.,Er ist sehr __ und arbeitet gut unter Druck.,,media/azure-c746ffe2-32fe8348-04b285c7-810c5a3f-710ba4cd.mp3,media/azure-4feb81c7-9866b00f-b7302dbf-2708ea3c-33b98128.mp3
die Belastbarkeit,resilience,Die Belastbarkeit ist eine wichtige Eigenschaft.,Die Belastbarkeit ist eine wichtige Eigenschaft.,__ ist eine wichtige Eigenschaft.,,media/azure-93304708-569efe4c-6089678d-d227d4bc-a6ce60ac.mp3,media/azure-eadd6577-72ad1419-247277a6-4630940f-915923ac.mp3
die Teamfähigkeit,ability to work in a team,Teamfähigkeit ist in diesem Job erforderlich.,Teamfähigkeit ist in diesem Job erforderlich.,__ ist in diesem Job erforderlich.,,media/azure-4524955a-50791445-893ccb5a-816755db-35347781.mp3,media/azure-e635e40d-0ab3253a-18a561d5-1c870b6c-391da6a7.mp3
Freude haben an,to enjoy,Sie hat viel Freude an der Arbeit.,Sie hat viel Freude an der Arbeit.,Sie hat viel __ an der Arbeit.,,media/azure-efa83a36-1407b990-7b91c8b4-f3f1dffd-e93456e5.mp3,media/azure-9258c50a-e167d3c6-85f6f4bb-160b36eb-e99e8a76.mp3
die Herausforderung,challenge,Diese Aufgabe ist eine große Herausforderung.,Diese Aufgabe ist eine große Herausforderung.,Diese Aufgabe ist eine große __.,,media/azure-2daaeafb-d2d7cc04-33cc4516-fb3d216a-a90f68f0.mp3,media/azure-9279ba3c-9f2c76e1-434b4b93-2d8c5687-c21d2d40.mp3
der Seiteneinsteiger,career changer,Der Seiteneinsteiger hat viel Erfahrung.,Der Seiteneinsteiger hat viel Erfahrung.,__ hat viel Erfahrung.,,media/azure-42b0c29f-bfa7dafb-d3b1034f-69898ebf-e9f976d5.mp3,media/azure-2896497f-9cef4f5c-8ab6a247-225d65b5-6acb49c4.mp3
der Quereinsteiger,career changer,Der Quereinsteiger fand schnell eine neue Position.,Der Quereinsteiger fand schnell eine neue Position.,__ fand schnell eine neue Position.,,media/azure-076c3ee1-b909b7d1-df5ea472-b59c1a7d-2dcfdc36.mp3,media/azure-a1231761-2058b05f-b58ca1a9-794d3d0c-863414e0.mp3
überlegen,to consider,"Sie überlegte, ob sie den Job annehmen sollte.","Sie überlegte, ob sie den Job annehmen sollte.","Sie __, ob sie den Job annehmen sollte.",,media/azure-8e8b28c9-1aabe3b2-13aeacb8-32c0d82d-948f922a.mp3,media/azure-70e3adc4-4f91e7a1-f61758de-f25b359a-6c660177.mp3
nachweisen,to prove,Er musste seine Fähigkeiten nachweisen.,Er musste seine Fähigkeiten nachweisen.,Er musste seine Fähigkeiten __.,,media/azure-fbf42d39-44fa7e4c-c3db4937-897efd5c-4a1c5d08.mp3,media/azure-8654ba14-fa4fee95-7193ad1b-c4a9b085-a67ee1f7.mp3
(keinen) Sinn haben,(to be) meaningless,Das Gespräch hatte keinen Sinn.,Das Gespräch hatte keinen Sinn.,Das Gespräch __ keinen __.,,media/azure-dde415a4-d94e8124-3ba800f9-1430aaa0-bcc8da1e.mp3,media/azure-81b88080-c24e217d-4c557cf1-36d3303f-53e7bb65.mp3
aktuell,current,Der aktuelle Stand der Dinge ist gut.,Der aktuelle Stand der Dinge ist gut.,__ Stand der Dinge ist gut.,,media/azure-61a0db25-ca0d73d2-538076cc-cdec9e1f-1520caef.mp3,media/azure-8e9ff1cd-7385a215-dd6c1779-0bc59188-ef99f40e.mp3
die Einarbeitung,onboarding,Die Einarbeitung dauert zwei Wochen.,Die Einarbeitung dauert zwei Wochen.,__ dauert zwei Wochen.,,media/azure-4d7058b7-b0ed722c-b1229a50-37929778-39827eeb.mp3,media/azure-5ae96fcc-70db7487-c1245aa4-e509bec5-d75ad10c.mp3
ablaufen,to expire,Der Vertrag läuft nächsten Monat ab.,Der Vertrag läuft nächsten Monat ab.,Der Vertrag __ nächsten Monat __.,,media/azure-cac1160e-01060972-5e55b53f-a2a99d65-66d20066.mp3,media/azure-9b5246e2-d0290b23-b1fa728f-9927d901-4a45f220.mp3
die Kenntnisse,knowledge,Seine Kenntnisse im Bereich Informatik sind ausgezeichnet.,Seine Kenntnisse im Bereich Informatik sind ausgezeichnet.,Seine __ im Bereich Informatik sind ausgezeichnet.,,media/azure-813e6413-f39de287-f85d851d-d74a62b8-ff719eb6.mp3,media/azure-6b5dcef5-0346fbd0-3748d004-fc7589f3-02496e86.mp3
um Hilfe bitten,to ask for help,Sie bat um Hilfe bei der Aufgabe.,Sie bat um Hilfe bei der Aufgabe.,Sie bat __ bei der Aufgabe.,,media/azure-a363af63-51db9f1b-4e9119bb-5de9e511-54cd725c.mp3,media/azure-e81a03f7-16981ba6-d417b5d3-91ab858e-7cef14cf.mp3
die Position,position,Die Position des Managers ist vakant.,Die Position des Managers ist vakant.,__ des Managers ist vakant.,,media/azure-fbfa3820-f1f532a2-9828f2a3-87a2add4-652d0b08.mp3,media/azure-d1b67ee3-02b45543-3ae93dd0-c9dc949d-e7b33999.mp3
die Tätigkeit,"activity, task",Die Tätigkeit umfasst viele Aufgaben.,Die Tätigkeit umfasst viele Aufgaben.,__ umfasst viele Aufgaben.,,media/azure-70aa282c-59ec127d-c2d9a403-6005d37a-058c6a8b.mp3,media/azure-2eb1772e-5425a2ee-caddf582-62b77c71-1449d07b.mp3
der Absender,sender,Der Absender der E-Mail ist unbekannt.,Der Absender der E-Mail ist unbekannt.,__ der E-Mail ist unbekannt.,,media/azure-1650b269-dadbadc0-a98388d5-3bcbde87-ff9867c5.mp3,media/azure-1c154ce7-c9dc7aec-35055883-78884416-3ca46a06.mp3
die Einleitung,introduction,Die Einleitung des Berichts war sehr klar.,Die Einleitung des Berichts war sehr klar.,__ des Berichts war sehr klar.,,media/azure-11a61457-000a55ff-9daeebfa-d1824202-18a8b1bf.mp3,media/azure-ccfad196-0be69740-fa1c63d2-5c80dbc4-65757df5.mp3
der Schlusssatz,closing sentence,Der Schlusssatz war sehr überzeugend.,Der Schlusssatz war sehr überzeugend.,__ war sehr überzeugend.,,media/azure-63d32cc1-d31edd72-c11d0c1e-9c2cd536-8e898e66.mp3,media/azure-1d67acd5-7654d7e9-73e2ee9a-ce3e7a16-7a5fdc24.mp3
die Erfahrung,experience,Sie hat viel Erfahrung im Bereich Marketing.,Sie hat viel Erfahrung im Bereich Marketing.,Sie hat viel __ im Bereich Marketing.,,media/azure-190bc709-9cdd0df4-3985cf0d-ff6881af-d1a710c7.mp3,media/azure-4e316930-26057d64-cd0e35da-ba565ed4-ca61495a.mp3
die Zusage,acceptance,Die Zusage kam gestern per E-Mail.,Die Zusage kam gestern per E-Mail.,__ kam gestern per E-Mail.,,media/azure-35e65c60-e331ef0e-b1f4bf7b-8b606218-d31c7229.mp3,media/azure-72c71d7d-075dcda7-76f73da7-fad00114-689e5368.mp3
die Absage,rejection,Die Absage für den Job kam heute.,Die Absage für den Job kam heute.,__ für den Job kam heute.,,media/azure-5a018362-b555456b-10b9ebb7-e01ab8f6-01b30003.mp3,media/azure-29b0e203-ac54ffc4-7cf2bd4f-ac559329-8654fe70.mp3
das Vorstellungsgespräch,interview,Er hatte ein Vorstellungsgespräch bei der Firma.,Er hatte ein Vorstellungsgespräch bei der Firma.,Er hatte ein __ bei der Firma.,,media/azure-7d5f432d-9623c842-93f1caec-b6cadd6f-e2f6fa95.mp3,media/azure-80fc9699-a5d28cf1-23b285ba-7f4acdef-c482ec2b.mp3
die Stärke,strength,Eine seiner größten Stärken ist seine Geduld.,Eine seiner größten Stärken ist seine Geduld.,Eine seiner größten __ ist seine Geduld.,,media/azure-b4bc8a50-ef155ed5-717ed73c-17713585-400a71dc.mp3,media/azure-0c756cc8-27545376-d9a1d93a-b0d8c4e0-c6177af2.mp3
die Schwäche,weakness,Er hat an seiner Schwäche gearbeitet.,Er hat an seiner Schwäche gearbeitet.,Er hat an seiner __ gearbeitet.,,media/azure-11d1664b-d7de7c72-5ce09bff-067e6650-4fa5af4b.mp3,media/azure-404e4103-6b40f01e-539387d4-8f0bfc85-43bade47.mp3
sich konzentrieren (auf),to concentrate (on),Ich muss mich auf die Präsentation konzentrieren.,Ich muss mich auf die Präsentation konzentrieren.,Ich muss mich auf die Präsentation __.,,media/azure-adca6112-5563edb1-13aa5a08-67b75aae-88c7147f.mp3,media/azure-1d2ac8f3-692bb3da-4d8a7b5c-9012eadf-8a6c08b9.mp3
sich neu orientieren,to reorient,Nach der Kündigung musste sie sich neu orientieren.,Nach der Kündigung musste sie sich neu orientieren.,Nach der Kündigung musste sie sich __.,,media/azure-9acb8411-1fffc993-16399818-b883ef67-9aa89d40.mp3,media/azure-1e067e42-d4be66d1-b13996e5-e23d7dd5-8890bb4b.mp3
sich weiterentwickeln,to develop further,Er möchte sich beruflich weiterentwickeln.,Er möchte sich beruflich weiterentwickeln.,Er möchte sich beruflich __.,,media/azure-bb54d412-334d90da-4b5a5270-c437760e-103ee7b2.mp3,media/azure-15d77177-07fd1826-002934fb-ba2bd2fe-4731a3d9.mp3
die Probezeit,probation period,Die Probezeit dauert sechs Monate.,Die Probezeit dauert sechs Monate.,__ dauert sechs Monate.,,media/azure-3ecd1036-e6007056-96e7fdce-594e5e86-f08df08c.mp3,media/azure-4619cf3b-148201f7-abba725d-d8c371af-e02e3c66.mp3
das Mitarbeitergespräch,employee review,Das Mitarbeitergespräch fand letzte Woche statt.,Das Mitarbeitergespräch fand letzte Woche statt.,__ fand letzte Woche statt.,,media/azure-8edbb7e7-504d6296-d5fca809-ba8e66fd-b74c0eda.mp3,media/azure-1018d5e9-0bf98469-f8729c5f-559812ed-52b600c3.mp3
die Befristung,limitation (in time),Die Befristung des Vertrags wurde verlängert.,Die Befristung des Vertrags wurde verlängert.,__ des Vertrags wurde verlängert.,,media/azure-ab16b615-1f943f00-a79dafb8-13323134-4bc55c3d.mp3,media/azure-621a341b-8f7554ea-408ac850-2109b9d1-51b8fad3.mp3
der Lohn,salary,Sein Lohn wird am Ende des Monats gezahlt.,Sein Lohn wird am Ende des Monats gezahlt.,Sein __ wird am Ende des Monats gezahlt.,,media/azure-4888ce7a-45c5b7fb-76af48b2-2f1a9b64-9066adee.mp3,media/azure-2506b4df-70091fe8-1035680e-6cd2f62e-5446e62e.mp3
gehen um,to be about,Der Film geht um den Zweiten Weltkrieg.,Der Film geht um den Zweiten Weltkrieg.,Der Film __ den Zweiten Weltkrieg.,,media/azure-92d01617-52c574b2-4efdfe5e-67873f34-6a3c7795.mp3,media/azure-ca48d9ae-3ede2573-a6a55e14-aa737b11-575288cd.mp3
Anspruch haben auf,to be entitled to,Sie hat Anspruch auf eine Rückerstattung.,Sie hat Anspruch auf eine Rückerstattung.,Sie hat __ auf eine Rückerstattung.,,media/azure-6a89c004-4b73d762-dcda5fd1-aafc5996-96a4a29c.mp3,media/azure-84955b6a-f2cc9399-cd723aca-f544eeae-ceaacd70.mp3
wöchentlich,weekly,Die Besprechung findet wöchentlich statt.,Die Besprechung findet wöchentlich statt.,Die Besprechung findet __ statt.,,media/azure-6cabca42-853d9c1d-9fb241d7-7b706c25-3b2c79d2.mp3,media/azure-3b5226ae-63cbf447-9a65ff6b-de14e96d-9768bf30.mp3
die Vereinbarung,agreement,Wir haben eine Vereinbarung über die Arbeitszeiten.,Wir haben eine Vereinbarung über die Arbeitszeiten.,Wir haben eine __ über die Arbeitszeiten.,,media/azure-37581b25-aa7f3d39-2e00fe87-a568eeeb-b2f645f8.mp3,media/azure-adabcbd6-0673e564-e5073e4e-9a0c6063-c110772d.mp3
teilnehmen an,to participate in,Sie wird an der Besprechung teilnehmen.,Sie wird an der Besprechung teilnehmen.,Sie wird __ der Besprechung __.,,media/azure-6cadb1c4-8a8e098f-188aefb3-174d6070-b8e4290f.mp3,media/azure-bc622705-f365a185-81c9835c-067e3643-827bb49d.mp3
sich bedanken für,to thank for,Ich möchte mich für Ihre Hilfe bedanken.,Ich möchte mich für Ihre Hilfe bedanken.,Ich möchte __ Ihre Hilfe __.,,media/azure-6eca2907-2c669dc4-f968f332-1ac1d166-22d6c8a8.mp3,media/azure-b41e5da4-c2cdfb33-c2d18f5c-3d7773a2-c26c7d46.mp3
warten auf,to wait for,Wir warten auf den nächsten Bus.,Wir warten auf den nächsten Bus.,Wir __ den nächsten Bus.,,media/azure-546d90db-e63bbf04-4b545c15-4123deb0-f8aacece.mp3,media/azure-03027252-0e146906-a721066b-fc41e14c-072072fa.mp3
die Liste,list,Ich habe die Liste der Aufgaben gemacht.,Ich habe die Liste der Aufgaben gemacht.,Ich habe __ der Aufgaben gemacht.,,media/azure-2fdd14b7-33cf1eaf-9e885ece-59f179b2-75e55488.mp3,media/azure-b2e65fb0-c2f2b02d-b504c96f-27d6aa79-0149c988.mp3
lüften,to ventilate,"Er lüftete das Zimmer, weil es warm war.","Er lüftete das Zimmer, weil es warm war.","Er __ das Zimmer, weil es warm war.",,media/azure-33f6a772-afad7079-cd85099d-0fe26655-525f8743.mp3,media/azure-dd957323-bfdbbcd2-e40e25fc-a8a56900-3747aa3a.mp3
das Fenster kippen,to tilt the window,"Er kippte das Fenster, um frische Luft hereinzulassen.","Er kippte das Fenster, um frische Luft hereinzulassen.","Er __ , um frische Luft hereinzulassen.",,media/azure-5f549c21-c39bc8f1-fb565df6-3a439ce4-6747ad74.mp3,media/azure-b7cae723-9377fd3e-a866cd56-ee8f8711-9a5d3bdf.mp3
runterdrehen,to turn down,Ich muss die Musik etwas runterdrehen.,Ich muss die Musik etwas runterdrehen.,Ich muss die Musik etwas __.,,media/azure-85d4ad85-b7b3d730-0e91ad57-42c8f284-0aacf131.mp3,media/azure-31729d56-62129c2f-0a9a8423-a2a09f50-25732643.mp3
das Gerät,device,Das Gerät funktioniert nicht richtig.,Das Gerät funktioniert nicht richtig.,__ funktioniert nicht richtig.,,media/azure-6823349a-5771be22-0b70f67b-e4cdebda-200dd6da.mp3,media/azure-0f611bc3-7e99b6be-ed6c34f1-604f3096-a2e21181.mp3
effektiv,effective,Diese Methode ist sehr effektiv.,Diese Methode ist sehr effektiv.,Diese Methode ist sehr __.,,media/azure-79b0767a-29daafbc-b21138e9-30340041-d15c1181.mp3,media/azure-ac93ceaa-ea75e30f-78e91136-c513e4b6-7ef55124.mp3
anmachen,to turn on,Kannst du bitte das Licht anmachen?,Kannst du bitte das Licht anmachen?,Kannst du bitte das Licht __?,,media/azure-cb1c6a7c-e6660428-accc1910-6e41984c-b34f7225.mp3,media/azure-b7322b38-c2ee8e97-2b557379-08c42150-fae0ae1f.mp3
ausmachen,to turn off,Er macht das Radio aus.,Er macht das Radio aus.,Er __ das Radio __.,,media/azure-42d740c6-0a542885-5cd5c7c6-bba26abb-a042931e.mp3,media/azure-69762866-f47abe3b-5b263093-54cf4251-2162418e.mp3
aufmachen,to open,Sie macht das Fenster auf.,Sie macht das Fenster auf.,Sie __ das Fenster __.,,media/azure-5de06650-c3e6de37-1d153e33-6a53a07f-6d95a792.mp3,media/azure-fd252ac9-f3ed1719-b66ce89e-653d7550-ffe6b3a0.mp3
zumachen,to close,Ich werde die Tür zumachen.,Ich werde die Tür zumachen.,Ich werde die Tür __.,,media/azure-22a55070-48326c9c-b3319ebc-02725990-e74f484d.mp3,media/azure-b684d962-0f830d99-5aa66f60-347a2156-31c24de8.mp3
schließen,to close,Kannst du bitte das Fenster schließen?,Kannst du bitte das Fenster schließen?,Kannst du bitte das Fenster __?,,media/azure-4d02dd3e-013a007e-5a4c381a-1b98a84b-328a548f.mp3,media/azure-6c83c642-afc95cfe-b1c835bc-c1122873-23eb0077.mp3
aufdrehen,to turn up,Er dreht die Lautstärke auf.,Er dreht die Lautstärke auf.,Er __ die Lautstärke __.,,media/azure-98cbb381-2669f6f6-19a292e1-2d7d6fd7-f49ccf34.mp3,media/azure-7d9668e6-aac11751-90a0b6ea-4938258c-da72da3b.mp3
zudrehen,to turn off (a tap),Ich drehe den Wasserhahn zu.,Ich drehe den Wasserhahn zu.,Ich __ den Wasserhahn __.,,media/azure-a269efa3-8ad13294-62f96359-072b7678-1684de70.mp3,media/azure-ad36d977-40fc3779-d9b8ca95-a2ad7bfe-83d13af8.mp3
das Licht,light,Das Licht ist zu hell.,Das Licht ist zu hell.,__ ist zu hell.,,media/azure-3f1c2b78-563e6acc-fb3bd19d-8bcb24ac-632e5365.mp3,media/azure-8ee8e48b-5dc35e2a-1bfb8ffa-2a138d91-3bf2a53e.mp3
der Wasserhahn,faucet,Der Wasserhahn tropft.,Der Wasserhahn tropft.,__ tropft.,,media/azure-a656c989-adabfc2d-59d98894-ebd31e3b-f4896b1e.mp3,media/azure-db01b764-495c676a-d3a0f389-02df2666-5d8049b5.mp3
übertrieben,exaggerated,Seine Reaktion war übertrieben.,Seine Reaktion war übertrieben.,Seine Reaktion war __.,,media/azure-12f03096-5957983b-1abb4a44-2a2cef92-594497e8.mp3,media/azure-63cf365e-b702eaa6-16925916-2f434cc1-4546671b.mp3
der Einwand,objection,Sie hatte einen Einwand gegen den Plan.,Sie hatte einen Einwand gegen den Plan.,Sie hatte einen __ gegen den Plan.,,media/azure-6168c05a-3a43bb79-fee58be7-b73e5471-358ee25c.mp3,media/azure-e29c9e9e-7553c799-48498a56-64f69a31-41ac1e65.mp3
zu weit gehen,to go too far,Er ist bei seiner Kritik zu weit gegangen.,Er ist bei seiner Kritik zu weit gegangen.,Er ist bei seiner Kritik __.,,media/azure-7041457f-7566c6ba-c8c9e311-7aa82f5b-1f695256.mp3,media/azure-3b9b1a17-1d26adbc-ca45da23-ce57bc46-3ef8792f.mp3
die Luft,air,Die Luft ist frisch heute Morgen.,Die Luft ist frisch heute Morgen.,__ ist frisch heute Morgen.,,media/azure-8c53c8b0-40795d6a-d9921b1e-4d2a458a-b1cca112.mp3,media/azure-a42b7382-acebee2d-4c117f78-ed8fdcb5-4bb0a43a.mp3
die Maßnahme,measure,Die Maßnahmen gegen die Pandemie sind streng.,Die Maßnahmen gegen die Pandemie sind streng.,__ gegen die Pandemie sind streng.,,media/azure-64cc1fa1-1009cbb8-4c8088a7-1943141c-215bdf4f.mp3,media/azure-3da45dd5-42215a4f-38270fd8-6e72a7dd-e76d7916.mp3
der Geldbeutel,wallet,Er verlor seinen Geldbeutel.,Er verlor seinen Geldbeutel.,Er verlor seinen __.,,media/azure-8f3035c7-3dc8a309-b9ff9328-c4257d8b-27b887ca.mp3,media/azure-2e773f6e-c71b433b-f06b586a-fda56766-37562515.mp3
sinnvoll,meaningful,Das wäre eine sinnvolle Entscheidung.,Das wäre eine sinnvolle Entscheidung.,Das wäre eine __ Entscheidung.,,media/azure-74b36b18-002fa2f1-3d8bad56-2e7220bb-f3dbd1b5.mp3,media/azure-cb13e0f9-d162616e-e1bfff24-f7d48c05-609ab010.mp3
verantwortlich (für),responsible (for),Sie ist für die Organisation des Events verantwortlich.,Sie ist für die Organisation des Events verantwortlich.,Sie ist für die Organisation des Events __.,,media/azure-c49d8079-37b5ea3a-ee4d9637-284e877c-7f1f73ae.mp3,media/azure-01206dd3-fdf2f2fa-82d95e1e-841ad5b1-cfd1de16.mp3
ein Protokoll führen,to keep a protocol,Er führt ein Protokoll über die Besprechung.,Er führt ein Protokoll über die Besprechung.,Er __ ein __ über die Besprechung.,,media/azure-522def05-ce9b40d9-63d38dd5-c5f21304-7b22883f.mp3,media/azure-1a6a1f0e-a8957a7a-8ae09f46-4f52df34-fd0fe993.mp3
sich Gedanken machen,to think about,Ich mache mir Gedanken über die Zukunft.,Ich mache mir Gedanken über die Zukunft.,Ich __ mir __ über die Zukunft.,,media/azure-7791b27a-fa218dc9-d158ee98-fe729a1b-8667a6be.mp3,media/azure-493041cc-220ac395-2544e707-f913d962-a2520c9d.mp3
reagieren auf,to react to,Sie reagiert schnell auf Kritik.,Sie reagiert schnell auf Kritik.,Sie __ schnell __ Kritik.,,media/azure-8f02f123-59d2e3fc-87881987-54dcc904-b993426a.mp3,media/azure-fa53662b-d3a689ff-a2e7f715-15f0ba34-989504db.mp3
einen Plan erstellen,to create a plan,Wir müssen einen Plan für die Reise erstellen.,Wir müssen einen Plan für die Reise erstellen.,Wir müssen __ für die Reise __.,,media/azure-a9968eac-36bb07a8-759999ec-7cb04136-9305e6a4.mp3,media/azure-2bb8199c-4f4637b3-49172a6d-a3d8e46d-50f8429f.mp3
das Ergebnis,result,Das Ergebnis war positiv.,Das Ergebnis war positiv.,__ war positiv.,,media/azure-2b91473f-e3475b9b-6760890f-c1accfed-ede2005e.mp3,media/azure-a4cee1dc-c287296f-625cd271-6bdc5fdc-7a243d21.mp3
senken,to lower,Er senkte die Lautstärke des Fernsehers.,Er senkte die Lautstärke des Fernsehers.,Er __ die Lautstärke des Fernsehers.,,media/azure-0790f4d6-400ab847-4cc13315-c49c08a1-5acac969.mp3,media/azure-ce99fc9e-8d563d39-bda68a64-4f233eb1-caa9d33b.mp3
stinksauer,furious,Sie ist stinksauer auf ihren Kollegen.,Sie ist stinksauer auf ihren Kollegen.,Sie ist __ auf ihren Kollegen.,,media/azure-a65e3689-162effee-48d7c181-766cc2a7-33431fc8.mp3,media/azure-0e08b13e-df1717b1-9a75d96a-c072ad2b-855b6c75.mp3
genervt,annoyed,Ich bin etwas genervt von diesem Lärm.,Ich bin etwas genervt von diesem Lärm.,Ich bin etwas __ von diesem Lärm.,,media/azure-f162c92f-b2d5b954-839f20b9-e6866403-6ba08184.mp3,media/azure-7734a637-c03c3567-87cff04f-658fd309-a480c2d4.mp3
stolz,proud,Sie ist stolz auf ihre Leistung.,Sie ist stolz auf ihre Leistung.,Sie ist __ auf ihre Leistung.,,media/azure-1aa31b20-9d449813-b42573c6-120d2a8b-7fd8bf1a.mp3,media/azure-672042fb-f1bc9fc3-406b6819-0c848573-db78c107.mp3
beschäftigt mit,busy with,Er ist mit der Arbeit beschäftigt.,Er ist mit der Arbeit beschäftigt.,Er ist __ der Arbeit __.,,media/azure-c9313cea-db9f013d-ded0b879-03e63db0-277c971e.mp3,media/azure-c90da436-70e2df95-5595c7f1-e2ccf461-b63dd688.mp3
sich etwas leisten können,to afford something,Sie kann sich ein neues Auto leisten.,Sie kann sich ein neues Auto leisten.,Sie kann sich ein neues Auto __.,,media/azure-ecb80013-9142c1e0-53db8c2f-22a19931-dfe5f213.mp3,media/azure-d435f9af-f50e20a5-c5b976dc-287da748-37bcdcd8.mp3
der Stress,stress,Der Stress im Job ist hoch.,Der Stress im Job ist hoch.,__ im Job ist hoch.,,media/azure-4e230d6f-96b3e60f-26f2960b-97400f16-f2d146c8.mp3,media/azure-0baf6083-463d3cb6-e463fc08-abe15bb6-db3736dc.mp3
der Arbeitnehmer,employee,Der Arbeitnehmer hat Anspruch auf Urlaub.,Der Arbeitnehmer hat Anspruch auf Urlaub.,__ hat Anspruch auf Urlaub.,,media/azure-3b232441-dc85fa6f-3535773a-fba5bb9d-c84e3f14.mp3,media/azure-ef5fb811-8d1338ca-71d44b4b-990dbfd7-740277d5.mp3
das Recht,right,Jeder hat das Recht auf freie Meinungsäußerung.,Jeder hat das Recht auf freie Meinungsäußerung.,Jeder hat __ auf freie Meinungsäußerung.,,media/azure-899cab9a-ddaaa951-4af3b4d5-32b45cc6-a267b071.mp3,media/azure-ccaa1a2b-180e289d-c85d1be3-6e52bd86-260dcd68.mp3
das Arbeitnehmerrecht,labor law,Das Arbeitnehmerrecht schützt die Rechte der Arbeiter.,Das Arbeitnehmerrecht schützt die Rechte der Arbeiter.,__ schützt die Rechte der Arbeiter.,,media/azure-4daeb3a1-c3f9d2e5-ca9114c8-078b83e8-ea342088.mp3,media/azure-4d925a9e-4e9bf733-e087ea55-2f06c01e-f4d321ef.mp3
recherchieren,to research,"Ich muss noch etwas recherchieren, bevor ich eine Entscheidung treffe.","Ich muss noch etwas recherchieren, bevor ich eine Entscheidung treffe.","Ich muss noch etwas __, bevor ich eine Entscheidung treffe.",,media/azure-dbf88f4c-3baec446-ddb079d1-cbc5b861-f4e32001.mp3,media/azure-fdc80036-da3630bd-135e6e63-30546920-e195b74a.mp3
der Betriebsrat,works council,Der Betriebsrat vertritt die Interessen der Mitarbeiter.,Der Betriebsrat vertritt die Interessen der Mitarbeiter.,__ vertritt die Interessen der Mitarbeiter.,,media/azure-6b7347d0-304e27c9-2cdfa60d-c1b0e8bd-cd47ff78.mp3,media/azure-48644202-83d774e1-9688b8ab-451a8ad8-3df20aeb.mp3
der Mindestlohn,minimum wage,Der Mindestlohn wurde erhöht.,Der Mindestlohn wurde erhöht.,__ wurde erhöht.,,media/azure-f58eedeb-9c569d6d-06783fa9-10d582c2-e7e28f28.mp3,media/azure-e14f15b2-2238062f-2fb8e849-d434104d-90f16943.mp3
benachteiligen,to discriminate,"Es ist illegal, jemanden zu benachteiligen.","Es ist illegal, jemanden zu benachteiligen.","Es ist illegal, jemanden zu __.",,media/azure-c6ea7776-3fb109cb-c3fece2a-9d544ee5-5a4cb997.mp3,media/azure-dd037dec-502c57b5-17df076d-6c7dd80d-fee3188f.mp3
vorgeschrieben,prescribed,Die Arbeitszeiten sind vorgeschrieben.,Die Arbeitszeiten sind vorgeschrieben.,Die Arbeitszeiten sind __.,,media/azure-1025434b-4b8df56e-0dd0c3d0-c882e274-50674c42.mp3,media/azure-70abcf96-ec460fa2-65508c26-6640642a-30666d2b.mp3
aufteilen,to divide,Wir müssen die Aufgaben aufteilen.,Wir müssen die Aufgaben aufteilen.,Wir müssen die Aufgaben __.,,media/azure-a864bdc2-a53dbfdf-877bc253-a9542328-b713fa0e.mp3,media/azure-66cab2a9-4158ce60-8cb67c7f-37ec0d37-606bfd09.mp3
gesetzlich,statutory,Der Mindestlohn ist gesetzlich festgelegt.,Der Mindestlohn ist gesetzlich festgelegt.,Der Mindestlohn ist __ festgelegt.,,media/azure-f0343ff4-6c2b1e91-0dd77dcc-f9a4a7ca-a0170e8b.mp3,media/azure-45cac95a-834d07a5-e9d3a505-892bc114-332153a4.mp3
geregelt,regulated,Die Arbeitszeiten sind genau geregelt.,Die Arbeitszeiten sind genau geregelt.,Die Arbeitszeiten sind genau __.,,media/azure-414bf03a-30b0d34f-99d34f3b-261c7d01-47b06449.mp3,media/azure-46db7218-20027be7-ef859aa2-a8548169-43af3d2d.mp3
kopieren,to copy,Ich muss dieses Dokument kopieren.,Ich muss dieses Dokument kopieren.,Ich muss dieses Dokument __.,,media/azure-8b6f31e4-03454bf8-df348aec-21225ddd-412bc9e6.mp3,media/azure-01c27dfb-8523a2fd-4abdde64-647d5e1f-17aa209b.mp3
auf einen Knopf drücken,to press a button,"Drück auf den Knopf, um den Fernseher anzuschalten.","Drück auf den Knopf, um den Fernseher anzuschalten.","__ , um den Fernseher anzuschalten.",,media/azure-2c4bc748-2b49b023-67ca1ab5-6ddca30f-54cc9c15.mp3,media/azure-38853032-d820baeb-da3af07b-6ac686fa-bc44a09c.mp3
jdm. Bescheid sagen,to inform someone,"Bitte sag mir Bescheid, wenn du fertig bist.","Bitte sag mir Bescheid, wenn du fertig bist.","Bitte __ mir __, wenn du fertig bist.",,media/azure-1f3b697a-faa25335-f8fff5a2-d73eaca6-1b1bbdb2.mp3,media/azure-9f0fb1d6-90b45454-a7041071-10eb186e-c83477d2.mp3
